0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
1.0,19920201,0.0,0.0,0.0,0.0,0.0,0.0,99.1,95.6,81.1,63.9,35.6
1.5,19920301,0.0,0.0,0.0,0.0,0.0,0.0,98.5,94.6,81.6,65.5,37.5
2.9,19920401,0.0,0.0,0.0,0.0,0.0,0.0,97.1,94.1,78.1,58.0,24.0
3.5,19920501,0.0,0.0,0.0,0.0,0.0,0.0,96.5,91.6,79.8,67.4,44.7
2.4,19920601,0.0,0.0,0.0,0.0,0.0,0.0,97.5,92.2,79.4,63.6,33.2
2.7,19920701,0.0,0.0,0.0,0.0,0.0,0.0,97.4,93.9,82.7,69.2,43.1
3.6,19920801,0.0,0.0,0.0,0.0,0.0,0.0,96.3,93.0,83.2,71.4,45.0
12.4,19920901,0.5,0.1,0.0,0.0,0.0,0.0,87.1,68.3,32.1,13.1,2.3
44.4,19921001,1.2,0.6,0.0,0.0,0.0,0.0,54.4,30.3,5.7,0.9,0.0
57.2,19921101,2.2,0.1,0.0,0.0,0.0,0.0,40.6,17.3,2.0,0.5,0.0
58.4,19921201,2.0,0.0,0.0,0.0,0.0,0.0,39.6,15.6,1.8,0.4,0.0
49.1,19930101,1.5,0.0,0.0,0.0,0.0,0.0,49.3,23.3,3.9,1.3,0.1
60.7,19930201,11.3,4.8,0.2,0.0,0.0,0.0,28.0,16.7,5.0,2.3,0.6
54.6,19930301,20.9,7.9,0.5,0.0,0.0,0.0,24.5,10.0,1.8,0.6,0.1
50.0,19930401,23.7,11.0,2.7,0.8,0.0,0.0,26.2,9.6,0.9,0.2,0.0
43.9,19930501,26.6,12.0,2.4,0.6,0.0,0.0,29.7,16.9,1.7,0.3,0.0
38.3,19930601,17.5,7.3,0.7,0.1,0.0,0.0,44.2,29.8,17.0,8.6,1.1
44.1,19930701,2.9,0.6,0.0,0.0,0.0,0.0,53.0,35.8,18.0,8.6,1.7
55.6,19930801,5.2,1.2,0.0,0.0,0.0,0.0,39.3,25.0,8.7,3.0,0.4
61.4,19930901,11.1,1.9,0.0,0.0,0.0,0.0,27.5,14.9,2.5,0.6,0.0
55.2,19931001,18.2,8.6,0.8,0.0,0.0,0.0,26.7,11.4,1.4,0.3,0.0
55.4,19931101,25.8,14.5,1.8,0.3,0.0,0.0,18.7,8.3,1.0,0.1,0.0
59.3,19931201,29.9,18.0,4.7,1.2,0.1,0.0,10.8,3.5,0.5,0.0,0.0
62.1,19940101,29.6,16.0,3.2,0.9,0.0,0.0,8.3,2.4,0.2,0.0,0.0
58.3,19940201,33.3,20.3,5.1,1.0,0.0,0.0,8.5,2.2,0.2,0.0,0.0
42.7,19940301,51.9,31.8,7.6,2.1,0.1,0.0,5.5,2.0,0.3,0.0,0.0
47.2,19940401,46.7,23.2,3.4,0.7,0.0,0.0,6.1,2.6,0.2,0.0,0.0
66.6,19940501,18.1,5.4,0.8,0.3,0.0,0.0,15.2,7.8,0.7,0.0,0.0
65.7,19940601,24.9,12.3,2.2,0.5,0.0,0.0,9.4,3.2,0.0,0.0,0.0
66.7,19940701,26.3,10.9,0.9,0.0,0.0,0.0,7.0,1.2,0.0,0.0,0.0
62.9,19940801,27.7,15.1,2.7,0.3,0.0,0.0,9.4,2.1,0.2,0.0,0.0
64.9,19940901,27.0,14.2,2.4,0.2,0.0,0.0,8.0,2.3,0.0,0.0,0.0
39.4,19941001,28.6,17.1,4.8,1.3,0.0,0.0,32.0,21.7,9.0,4.2,0.6
42.4,19941101,24.3,12.5,3.5,0.9,0.1,0.0,33.2,21.7,5.8,1.9,0.0
35.3,19941201,24.7,12.5,4.2,1.7,0.5,0.0,40.0,28.2,12.6,5.2,0.5
33.6,19950101,27.2,15.8,6.9,3.1,0.9,0.0,39.1,30.8,17.9,11.3,2.5
37.2,19950201,33.4,23.5,11.4,6.5,3.0,0.0,29.4,21.7,10.4,4.0,0.3
36.6,19950301,26.2,16.4,6.5,4.1,1.6,0.0,37.3,28.2,16.7,9.5,3.4
32.2,19950401,26.5,16.7,6.3,3.5,0.2,0.0,41.4,31.5,17.5,11.7,5.2
35.6,19950501,7.7,4.3,0.3,0.0,0.0,0.0,56.6,43.2,21.4,10.7,2.7
33.5,19950601,5.0,2.3,0.4,0.0,0.0,0.0,61.4,45.7,21.8,9.8,1.9
43.5,19950701,10.8,4.7,1.6,0.2,0.0,0.0,45.6,25.9,8.5,3.1,0.5
43.1,19950801,10.8,5.6,1.2,0.2,0.0,0.0,46.2,32.5,11.7,6.0,2.0
51.5,19950901,5.3,1.6,0.1,0.0,0.0,0.0,43.2,26.3,9.9,5.2,2.6
64.2,19951001,8.2,2.2,0.2,0.0,0.0,0.0,27.7,16.3,5.4,3.2,1.7
60.0,19951101,10.1,2.2,0.3,0.0,0.0,0.0,30.0,17.7,5.9,3.3,1.6
62.0,19951201,13.1,3.1,0.1,0.0,0.0,0.0,24.8,14.0,4.3,3.1,1.6
52.6,19960101,27.3,12.4,2.5,0.7,0.2,0.0,20.1,11.8,4.3,3.2,1.6
36.1,19960201,54.6,37.2,14.5,5.8,1.7,0.0,9.3,4.7,2.1,1.2,0.3
24.3,19960301,68.3,54.2,24.8,12.0,4.4,0.0,7.5,3.2,0.9,0.1,0.0
25.8,19960401,69.0,54.0,28.4,16.8,7.6,0.0,5.2,1.9,0.0,0.0,0.0
15.3,19960501,83.9,70.6,47.3,32.0,17.5,0.0,0.7,0.1,0.0,0.0,0.0
7.8,19960601,91.1,83.4,64.9,45.4,18.6,0.0,1.0,0.4,0.0,0.0,0.0
17.9,19960701,80.2,69.6,44.2,26.4,8.3,0.0,1.9,1.2,0.3,0.0,0.0
40.8,19960801,48.3,35.2,14.2,5.7,0.9,0.0,10.8,3.8,1.1,0.6,0.0
47.8,19960901,34.8,21.7,4.5,1.1,0.0,0.0,17.4,8.8,2.6,0.5,0.0
53.8,19961001,29.9,16.1,3.3,0.6,0.0,0.0,16.2,8.5,1.6,0.1,0.0
54.0,19961101,14.7,8.8,0.7,0.0,0.0,0.0,31.4,20.5,6.9,1.6,0.1
54.9,19961201,13.8,8.0,1.0,0.0,0.0,0.0,31.2,19.5,5.7,1.8,0.1
53.8,19970101,12.3,6.1,0.3,0.0,0.0,0.0,33.9,19.8,7.5,3.2,0.6
24.0,19970201,3.8,0.4,0.0,0.0,0.0,0.0,72.2,55.9,29.0,17.6,6.2
25.9,19970301,0.5,0.1,0.0,0.0,0.0,0.0,73.7,61.7,35.7,21.5,8.0
8.5,19970401,0.2,0.0,0.0,0.0,0.0,0.0,91.3,80.8,54.9,40.8,18.3
16.9,19970501,0.6,0.1,0.0,0.0,0.0,0.0,82.4,61.6,29.0,14.8,2.7
18.1,19970601,0.5,0.1,0.0,0.0,0.0,0.0,81.2,64.3,31.6,15.0,3.4
11.9,19970701,0.1,0.0,0.0,0.0,0.0,0.0,88.0,69.6,32.4,16.4,2.4
16.8,19970801,0.1,0.0,0.0,0.0,0.0,0.0,83.0,61.4,27.5,11.8,2.7
23.2,19970901,0.1,0.0,0.0,0.0,0.0,0.0,76.7,54.0,20.4,9.6,1.5
20.0,19971001,0.3,0.0,0.0,0.0,0.0,0.0,79.7,59.3,25.8,12.9,3.3
41.6,19971101,2.4,0.1,0.0,0.0,0.0,0.0,56.0,35.9,14.8,7.2,2.2
31.6,19971201,2.4,0.5,0.0,0.0,0.0,0.0,66.0,44.3,15.4,6.5,0.8
50.1,19980101,5.8,1.4,0.0,0.0,0.0,0.0,44.2,20.9,2.5,0.5,0.0
36.4,19980201,8.1,2.4,0.0,0.0,0.0,0.0,55.6,36.1,6.8,1.0,0.1
35.9,19980301,15.4,6.0,0.0,0.0,0.0,0.0,48.7,35.4,7.6,2.8,0.3
37.9,19980401,18.5,9.8,1.0,0.0,0.0,0.0,43.6,28.5,5.3,1.1,0.0
53.5,19980501,32.7,21.9,4.0,1.9,0.0,0.0,13.8,4.3,0.1,0.0,0.0
50.8,19980601,43.6,28.7,9.0,3.9,0.0,0.0,5.6,1.0,0.0,0.0,0.0
33.6,19980701,63.9,48.5,18.8,5.4,0.6,0.0,2.5,0.5,0.0,0.0,0.0
41.4,19980801,48.5,30.4,8.9,3.5,0.7,0.0,10.2,3.1,0.1,0.0,0.0
44.3,19980901,49.9,40.7,24.7,15.1,6.0,0.0,5.9,1.1,0.0,0.0,0.0
38.2,19981001,38.7,27.9,12.8,6.1,2.1,0.0,23.2,11.8,2.3,0.7,0.1
38.6,19981101,36.5,26.4,13.0,7.1,2.4,0.0,24.8,12.2,2.2,0.7,0.0
37.9,19981201,41.5,33.4,19.6,13.5,6.7,0.0,20.6,9.4,2.2,0.9,0.0
30.4,19990101,36.2,25.8,13.3,7.1,2.5,0.0,33.1,20.8,4.5,1.4,0.1
28.6,19990201,30.4,21.5,9.5,4.6,1.3,0.0,40.8,30.1,9.4,3.0,0.6
27.6,19990301,14.0,5.7,1.4,0.3,0.0,0.0,58.4,48.5,28.4,13.7,3.4
28.3,19990401,9.1,3.8,0.0,0.0,0.0,0.0,62.7,54.0,34.9,18.5,4.2
36.4,19990501,10.3,2.3,0.0,0.0,0.0,0.0,53.3,42.9,27.1,13.7,3.3
30.5,19990601,0.0,0.0,0.0,0.0,0.0,0.0,69.5,45.3,19.9,12.8,5.8
56.4,19990701,2.0,0.2,0.0,0.0,0.0,0.0,41.5,21.8,8.2,2.4,0.2
55.4,19990801,17.7,5.8,0.6,0.1,0.0,0.0,27.0,14.5,3.7,1.1,0.1
42.4,19990901,37.2,20.2,3.3,0.4,0.1,0.0,20.6,10.8,3.5,1.2,0.0
40.0,19991001,48.4,31.7,7.6,1.5,0.0,0.0,11.6,6.0,0.3,0.0,0.0
38.9,19991101,50.3,33.6,6.7,1.3,0.0,0.0,10.8,5.8,0.1,0.0,0.0
27.1,19991201,66.1,54.3,24.0,7.4,0.5,0.0,6.8,3.3,0.2,0.0,0.0
22.1,20000101,73.0,59.4,24.4,9.3,1.1,0.0,4.9,1.9,0.0,0.0,0.0
15.0,20000201,81.7,71.3,40.5,19.2,2.9,0.0,3.2,1.5,0.0,0.0,0.0
16.2,20000301,81.0,71.4,51.9,34.2,16.4,0.0,2.8,1.6,0.1,0.0,0.0
19.4,20000401,78.8,68.8,53.1,40.7,24.0,0.0,2.0,0.2,0.0,0.0,0.0
19.8,20000501,80.2,62.4,35.8,27.2,19.1,0.0,0.2,0.0,0.0,0.0,0.0
50.7,20000601,39.8,20.9,4.2,1.0,0.0,0.0,9.5,4.2,0.6,0.0,0.0
43.8,20000701,47.8,29.9,6.2,1.2,0.0,0.0,8.3,3.5,1.0,0.1,0.0
40.9,20000801,53.4,34.8,10.0,3.5,0.3,0.0,5.6,2.5,0.3,0.0,0.0
33.9,20000901,64.2,47.2,16.6,7.1,1.1,0.0,2.0,0.4,0.0,0.0,0.0
57.9,20001001,34.9,18.1,2.2,0.1,0.0,0.0,7.1,2.8,0.3,0.0,0.0
49.8,20001101,12.4,5.0,0.0,0.0,0.0,0.0,37.7,24.2,3.2,0.6,0.1
45.0,20001201,21.5,11.0,1.9,0.2,0.0,0.0,33.5,21.1,3.9,0.8,0.1
46.0,20010101,13.5,6.1,0.6,0.1,0.0,0.0,40.4,29.7,10.3,2.6,0.3
42.2,20010201,9.9,4.6,1.0,0.2,0.0,0.0,47.9,35.9,15.0,6.8,1.6
42.3,20010301,16.3,7.5,1.2,0.1,0.0,0.0,41.5,31.8,13.9,5.5,0.5
46.4,20010401,11.4,4.3,0.1,0.0,0.0,0.0,42.3,30.5,13.0,5.6,0.6
34.2,20010501,7.1,3.1,0.6,0.2,0.1,0.0,58.6,47.3,19.6,9.5,1.9
30.9,20010601,3.1,0.2,0.0,0.0,0.0,0.0,66.0,52.2,22.1,12.5,5.4
38.5,20010701,24.1,15.2,1.3,0.0,0.0,0.0,37.3,24.5,13.5,9.9,4.8
40.4,20010801,33.9,19.7,4.9,2.3,0.4,0.0,25.6,15.6,6.7,3.0,0.1
38.5,20010901,33.1,20.4,6.0,2.9,0.8,0.0,28.2,20.1,9.0,5.6,1.8
26.5,20011001,50.9,37.8,18.9,10.0,3.4,0.0,22.5,17.5,8.2,4.4,1.3
35.1,20011101,40.4,26.0,10.6,4.7,1.4,0.0,24.4,19.1,9.2,4.4,0.9
24.8,20011201,50.7,39.2,19.1,8.9,2.6,0.0,24.4,17.0,5.9,1.9,0.5
27.9,20020101,44.6,33.0,16.9,9.2,3.0,0.0,27.5,21.1,8.5,3.5,0.6
26.6,20020201,46.8,36.4,16.5,7.4,2.3,0.0,26.5,19.3,6.9,3.2,0.6
41.5,20020301,30.0,21.0,5.8,2.3,0.6,0.0,28.4,14.7,2.5,0.4,0.0
43.5,20020401,22.2,14.4,2.4,0.2,0.0,0.0,34.3,18.8,4.8,2.2,0.0
44.7,20020501,42.2,29.4,5.6,1.5,0.3,0.0,13.1,7.0,1.8,0.3,0.0
47.6,20020601,45.1,28.4,6.5,2.6,0.6,0.0,7.4,1.3,0.0,0.0,0.0
52.3,20020701,14.8,6.8,1.7,1.1,0.3,0.0,33.0,20.3,5.2,1.8,0.0
45.0,20020801,35.8,20.5,5.9,3.2,0.4,0.0,19.1,9.9,0.4,0.0,0.0
42.5,20020901,40.4,21.9,4.2,0.8,0.0,0.0,17.0,7.8,1.2,0.3,0.0
52.6,20021001,6.6,2.4,0.0,0.0,0.0,0.0,40.8,27.2,9.5,4.0,0.6
44.0,20021101,10.4,4.2,0.0,0.0,0.0,0.0,45.7,33.3,12.9,6.3,1.3
40.4,20021201,9.4,2.9,0.0,0.0,0.0,0.0,50.3,38.4,20.1,12.2,4.7
39.0,20030101,13.8,5.0,0.4,0.0,0.0,0.0,47.3,36.0,19.8,12.5,4.9
37.6,20030201,2.9,0.5,0.0,0.0,0.0,0.0,59.5,47.4,29.5,20.8,11.2
36.1,20030301,1.2,0.0,0.0,0.0,0.0,0.0,62.7,48.3,31.4,22.5,11.3
58.1,20030401,7.9,0.8,0.0,0.0,0.0,0.0,34.1,24.5,11.2,4.6,1.4
61.6,20030501,9.9,1.4,0.0,0.0,0.0,0.0,28.5,15.0,3.4,0.3,0.0
46.7,20030601,0.8,0.0,0.0,0.0,0.0,0.0,52.5,22.4,1.6,0.1,0.0
67.1,20030701,22.4,11.1,1.8,0.1,0.0,0.0,10.5,2.9,0.0,0.0,0.0
69.7,20030801,23.3,12.0,2.7,0.8,0.0,0.0,7.0,0.6,0.0,0.0,0.0
48.3,20030901,37.9,20.2,6.3,2.5,0.0,0.0,13.8,8.4,0.7,0.0,0.0
43.3,20031001,33.7,20.9,5.4,2.0,0.1,0.0,23.0,14.5,5.5,2.7,0.6
39.6,20031101,43.5,27.9,7.3,2.3,0.3,0.0,17.2,11.0,4.2,2.1,0.6
37.2,20031201,47.8,30.8,8.7,3.4,0.6,0.0,15.0,8.9,3.1,1.4,0.3
